CHV,synonym
C0281176,"antibodies therapy,antibody therapies"
C0281178,anti cytokine therapy
C0281182,"breast cancer detection early,breast cancer early detection,breast cancer screen,breast screening cancer,breast screening for cancer,early breast cancer detection,early detection breast cancer,early detection of breast cancer,screening breast cancer,screening breast neoplasm,screening for breast cancer"
C0281184,screening for oral cancer
C0281185,"cancer colorectal screening,colorectal cancer screen,for colorectal cancer screening,screening colorectal cancer,screening for colorectal cancer"
C0281186,"cancer detection early prostate,cancer prostate early detection,cancer prostate screen,cancer prostate screening,early detection prostate cancer,for prostate cancer screening,prostate cancer early detection,prostate cancer screen,screening for prostate cancer"
C0281187,"cancer cervical detection early,cancer cervical screening,cervical cancer screen,for cervical cancer screening,for screening cervical cancer,screening cervical cancer,screening for cervical cancer"
C0281189,"breast cancer preventions,prevention breast cancer,prevention of breast cancer"
C0281192,"cancer prevention skin,prevention of skin cancer,prevention skin cancer"
C0281193,"cancer cervical prevention,cervical cancer prevention,prevention cervical cancer"
C0281194,"cancer lung prevention,cancer lung preventions,prevention of lung cancer"
C0281206,cancer prevention
C0281267,bilateral breast cancer
C0281297,"carboplatin paclitaxel,paclitaxel carboplatin"
C0281348,cyclophosphamide epirubicin
C0281361,"adenocarcinoma of the pancreas,adenocarcinoma pancreas,pancreas adenocarcinoma"
C0281373,respiratory papilloma
C0281385,strontium-89
C0281413,"cancer prevention prostate,cancer prostate prevention,prevention of prostate cancer,prevention prostate cancer"
C0281420,beta carotene vitamin
C0281477,"cancer lung screening,lung cancer screen,screening for lung cancer,screening lung cancer"
C0281478,cancer detection early ovarian
C0281497,cisplatin vinorelbine
C0281563,"cartilage shark,cartilage sharks"
C0281588,assessment life quality
C0281658,"intraocular lymphoma,iol"
C0281659,prevention of ovarian cancer
C0281663,"breast cancer pregnancy,cancer breast pregnancy,pregnancy breast cancer"
C0281666,"9-cis retinoic acid,9-cis-ra,9-cis-retinoic acid"
C0281767,abdominal perforations
C0281778,"abscess anal,abscesses anal"
C0281779,anal condylomata
C0281784,benign meningiomas
C0281789,"bleed nipples,bleeding nipple,bleeding nipples,blood discharge nipple,blood discharge nipples,nipple bleed,nipple blood discharge,nipple discharge blood"
C0281790,fistula bone
C0281793,"bursitis foot,foot bursitis"
C0281799,syndrome wobblers
C0281822,dermatologic problems
C0281825,disorders equilibrium
C0281838,"esophageal polyps,esophagus polyp,esophagus polyps,oesophagus polyp,polyp esophagus,polyp of esophagus"
C0281839,"esophagus rupture,oesophageal rupture,rupture esophagus,rupture of esophagus"
C0281850,"fractures humerus nonunion,nonunion humerus fracture"
C0281856,"aches generalized,body general pain,body generalized pain,general aches pains,generalized ache,generalized body aches"
C0281858,assessment global
C0281863,antibodies c hepatitis positive
C0281865,hip injuries
C0281867,"blood history transfusions,blood transfusion history"
C0281873,hyperextension injuries
C0281875,"drug illegal use,drug illicit use,drugs illegal use,drugs illicit use,illicit drug use"
C0281890,"laryngeal webs,larynx web,web larynx"
C0281893,"leg strains,legs strain,legs strains,strain leg"
C0281897,back low sprains
C0281899,"disc lumbar prolapse,disc lumbar prolapsed,discs lumbar prolapsed,disk herniated lumbar,herniated disk lumbar,herniated lumbar disk,herniated lumbar nucleus pulposus,lumbar herniated disk,prolapsed disc lumbar,prolapsed lumbar disc"
C0281913,"muscles swelling,swelling muscle"
C0281926,"calcaneus fractures,fracture calcaneus,fracture heel,fracture of calcaneus,fracture of os calcis,fractured os calcis,fractures heel,heel bone fracture,heel fracture,of calcaneus fracture"
C0281929,failure pacemaker
C0281936,bowel obstruction partial small
C0281940,peritonitis pelvic
C0281945,pacemakers permanent
C0281966,abnormalities reproductive system
C0281974,examination screen
C0281980,"injuries skin,injury skin"
C0281981,"lump skin,lumps skin,skin lump"
C0281982,"swelling of skin,swelling skin"
C0281985,"splintered,splinters"
C0281986,pyuria sterile
C0281991,use of steroids
C0282005,"scrotal swelling,scrotal swellings,scrotum swell,scrotum swelling,scrotum swollen"
C0282007,pacemakers temporary
C0282014,fractures trapezium
C0282015,pneumothorax traumatic
C0282028,cord ulcer vocal
C0282042,eflornithine hcl
C0282050,camoquine
C0282051,amphetamine sulphate
C0282053,antazoline hydrochloride
C0282055,"antiperistaltic,antiperistaltic drugs"
C0282056,"anti dna,anti dna antibodies,anti dna antibody,anti-dna antibodies"
C0282063,galaxies
C0282070,benzydamine hcl
C0282071,"betahistine hcl,betahistine hydrochloride"
C0282072,betaine hcl
C0282077,qi gong
C0282090,laxatives
C0282100,paludrin
C0282102,conradi-hunermann syndrome
C0282104,ciprofloxacin hcl
C0282105,clindamycin hydrochloride
C0282108,cocaine hcl
C0282111,"world wide web,www"
C0282114,recycled
C0282116,"collaborations,collaborative"
C0282122,respondent
C0282124,"experiences near death,near death experience,near-death experience"
C0282126,depressive neurosis
C0282131,potassium diclofenac
C0282133,diethylpropion hcl
C0282140,calcium docusate
C0282145,diphenoxylate hcl
C0282151,dopamine hcl
C0282152,doxapram hcl
C0282157,stain tissue
C0282159,economics policy
C0282160,"aplasia congenita cutis,aplasia cutis congenita,congenita aplasia cuti,cuti aplasia,cutis aplasia"
C0282162,emetine hcl
C0282163,immigrants
C0282165,environmental impacts
C0282166,"environmental policies,policy environmental"
C0282171,"event related potential,event-related potential,event-related potentials"
C0282175,stepfamily
C0282184,"care fraud health,health care fraud"
C0282185,"anti shock trousers,antishock trousers,mast trouser,mast trousers,pneumatic antishock garment"
C0282187,gastric drug
C0282189,gravities
C0282193,"excess iron,excesses iron,iron excess,iron overload disorder,iron overloading,overload iron"
C0282197,physician hospital organization
C0282198,hydralazine hydrochloride
C0282204,Native American
C0282206,gender issue
C0282210,isoproterenol hcl
C0282213,isoxsuprine hcl
C0282215,"beta lactams,beta-lactam,beta-lactams"
C0282219,lincomycin hcl
C0282221,loperamide hcl
C0282222,lubricants
C0282227,meclizine hydrochloride
C0282229,"medical transcriptions,transcription medical"
C0282230,"healing prayer,prayer heal"
C0282247,"milk substitutes,substitute milk"
C0282274,"hydrochloride oxycodone,oxycodone hydrochloride"
C0282281,medicine palliative
C0282288,"parenting step,parenting steps,parents step,step parent,step parents,step-parent"
C0282291,"trademark,trademarking"
C0282303,sodium phenobarbital
C0282304,"hydrochloride phentermine,phentermine hydrochloride"
C0282312,"black death,black deaths,black plague"
C0282321,propranolol hcl
C0282327,psyllium seeds
C0282330,"maleate pyrilamine,mepyramine maleate"
C0282331,quinacrine hydrochloride
C0282333,"relaxation therapies,relaxation training,therapy relaxation"
C0282334,"research treatment,therapeutic research"
C0282335,respiratory tracts
C0282346,sludges
C0282350,"abuse sex,abuse sexual,sex abuse,sexual abuses"
C0282354,descriptor
C0282355,sodium sulbactam
C0282356,"sodium sulphacetamide,sulfacetamide sodium"
C0282359,"bromsulphalein,bsp"
C0282360,"substitute sugar,substitute sugars,sugar substitute"
C0282366,"donation organ,donation organs,donations organ,organ donations"
C0282369,"hydrochloride trazodone,trazodone hcl"
C0282374,decongestants
C0282389,alliance health
C0282398,mefloquine hydrochloride
C0282402,"hormone replacement,hormone replacement therapies,hormone replacement therapy,hormone replacements,hormones replacement,HRT"
C0282411,"commentary,comments,viewpoint,viewpoints"
C0282412,editorials
C0282413,correspondence
C0282419,"report technical,reports technical"
C0282423,"guideline [reference materials],guidelines"
C0282424,"press releases,release press"
C0282426,directories
C0282440,"controll randomized trial,controlled randomized trial,controlled randomizes trials,controlled trial randomized,randomized controlled trials"
C0282441,"literature reviewing,literature reviews,review literature,review of literature"
C0282443,"reviewed,reviewing,reviews"
C0282448,monographs
C0282451,"clinical guideline practice,clinical guidelines practice"
C0282458,meta analysis pt
C0282460,"2 clinical phase trials,clinical ii phase trials,clinical trials phase 2,ii phase study,ii phase trials,phase ii clinical trials,phase ii trial"
C0282461,"clinical trials phase 3,iii phase protocols,iii phase studies,iii phase trial,iii phase trials,phase 3 clinical trials,phase iii study,phase iii trial"
C0282462,phase iv clinical trials
C0282469,biological diversity
C0282473,"articles newspaper,articles newspapers"
C0282476,"studies twin,twin study"
C0282478,empire roman
C0282488,"interstitial cystitis,painful bladder syndrome (PBS)"
C0282489,food containers
C0282491,"centers germinal,germinal center"
C0282492,"sneddon's syndrome,sneddons syndrome"
C0282493,"endoscopic operation,endoscopic operations,endoscopic procedure,endoscopic procedures,endoscopic surgeries,surgery endoscopic,surgical endoscopy"
C0282495,"cultural diversities,multiculturalism"
C0282496,research dental
C0282498,heat responses
C0282504,"environmental allergies,environmental allergy,environmental illnesses"
C0282508,"deer ticks,ixodes dammini"
C0282510,"black legged ticks,shoulder tick"
C0282511,ixode
C0282512,"acquired epileptic aphasia,landau kleffner syndrome"
C0282513,progressive primary aphasia
C0282515,chemoprevention
C0282519,"inhibitors reverse transcriptase,reverse transcriptase inhibitor"
C0282523,cpg island
C0282525,adrenoleukodystrophy neonatal
C0282527,infantile refsum's disease
C0282528,peroxisomal disorder
C0282537,"trinucleotide repeat,trinucleotide repeats,triplet repeats"
C0282538,bedouins
C0282539,palestinians
C0282540,arabs
C0282545,phakoemulsification
C0282547,cocultures
C0282549,hl-60 cells
C0282550,"gulf syndrome war,persian gulf syndrome"
C0282554,chemokine
C0282555,"allergic anti,anti allergic,anti allergy drugs,anti-allergy drugs,antiallergic drug,antiallergic drugs"
C0282556,"anti asthmatic,anti asthmatic drugs,anti asthmatics,anti-asthmatic drugs,anti-asthmatics,antiasthmatic,antiasthmatic drugs,antiasthmatics drug,antiasthmatics drugs"
C0282560,"caco 2 cell,caco-2 cell"
C0282561,nursing holistic
C0282563,macrolide
C0282564,anthracyclines
C0282566,"monocyte chemoattractant protein,monocyte chemotactic protein"
C0282568,"drugs essential,essential drug"
C0282575,micronutrient
C0282576,"molted,molting,moulted"
C0282582,"duct salivary,ducts gland salivary,salivary ducts"
C0282583,bacterial translocations
C0282587,ncam
C0282591,mineral fibers
C0282595,medicine chest
C0282597,maldi ms
C0282599,care health integrated system
C0282606,"muscle tumors,muscle tumours,muscles tumors"
C0282607,neoplasms vascular
C0282609,"bone cancer marrow,cancer bone marrow"
C0282611,phantom
C0282613,"countries developed,countries developing,country developed,developed countries"
C0282615,"radicotomy,rhizotomies,rhizotomy procedure"
C0282616,AIDS enteropathy
C0282617,motor evoked potentials
C0282620,adjusted life years
C0282631,"appearances facial,facial appearance"
C0282635,"bryophyta,bryophytes,moss,mosses"
C0282636,"cellular respiration,oxidative metabolism"
C0282638,"antibiotic coverage,antibiotic premedication,antibiotics coverage,prophylactic antibiotic therapy"
C0282639,ht-29 cell
C0282646,immunofluorescence indirect
C0282651,selectins
C0282653,clinical paths
C0282654,clinical pathway
C0282655,"critical path,critical paths,critical pathway"
C0282662,bedside test
C0282666,birth low very weight
C0282667,birth infants low very weight
C0282668,rapd
C0282678,"food organic,foods organic,foods organics,organic foods"
C0282679,"food health,foods health,health foods"
C0282682,"antibody block,blocking antibodies"
C0282684,"care children dental,children dental care,children dentistry,childrens dentistry,dentistry children,dentistry for children"
C0282685,respiratory stimulants
C0282687,"disease ebola,ebola fever hemorrhagic,ebola haemorrhagic fever,ebola virus disease,ebola virus infection"
C0282774,pimagedine
C0283009,"di antalvic,diantalvic"
C0283130,anatoxin
C0284447,"simulated,simulating"
C0284941,acamprostate
C0284968,"beta seron,beta-seron"
C0285131,CMV
C0285488,membrane cofactor protein (MCP)
C0285526,"n telopeptide,n telopeptides"
C0285890,alpha synuclein
C0286036,prevacid [brand name]
C0286079,"cdv,hpmpc"
C0286540,"cytarabine, etoposide, and mitoxantrone chemotherapy protocol"
C0286738,saquinivir
C0287163,seroquel [brand name]
C0288503,neuleptyl
C0288577,ci-979
C0289884,"copolymer 1,copolymer-1"
C0290883,anastrazole
C0290983,salvinorin
C0291573,caspase 3
C0291771,alosetron hcl
C0293359,"insulin human lispro,insulin lispro,lispro human insulin,lispro insulin"
C0295541,8 isoprostane
C0298083,methylphenylsulfide
C0298440,am 630
C0298973,mutated protein
C0298998,indium 111 octreotide
C0299583,leptins
C0299785,mouthwash scope
C0299865,quick set
C0300821,raf kinase inhibitor protein
C0300971,oxen
C0301017,dust stone
C0301024,greases
C0301042,2 phenoxyethanol
C0301161,"azo dye,azo-dye"
C0301224,"gas nerve,nerve gases"
C0301243,"green soap,green soap tincture"
C0301258,"alkaloid,alkaloids plant"
C0301260,"mushrooms poison,mushrooms poisoning"
C0301271,"brindall berry,gamboge"
C0301283,"additive drug,additive drugs,additives drug"
C0301284,drugs hard
C0301299,iodine solutions
C0301352,"precipitate sulfur,sulfur colloid,sulfur precipitated,sulphur colloid"
C0301360,"dimethoxyamphetamine,dma"
C0301363,tma
C0301370,"atropa belladonna,belladonna extract,deadly nightshade"
C0301421,"hamamelis,hamamelis virginiana,hazel witch"
C0301427,"drugs sulfur,drugs sulphur"
C0301429,animal fats
C0301445,sodium iodipamide
C0301470,"softener stool,softeners stool"
C0301503,human rabies immune globulin
C0301508,fever vaccines yellow
C0301532,"multiple vitamin,multiple vitamins,multivitamins"
C0301556,arginine hcl
C0301559,screws
C0301560,"skied,skies"
C0301568,"diet fiber high,diet high fiber,diets fiber high,diets fibre high,high fibre diet,high residue diet"
C0301569,"diet mechanical soft,diet soft,diets soft,mechanical soft diet,soft mechanical diet"
C0301571,"diet fluids,diet liquid,diet liquids,diets liquid,fluid diet"
C0301572,"bland diets,diet bland"
C0301577,"carbohydrate diets,carbohydrates diet,carbohydrates diets,diet carbohydrate"
C0301585,"diet fat,diet fats,dieting fat,diets fat,diets fats,fat diets"
C0301589,calorie diets
C0301590,"calorie diets high,diet energy high"
C0301592,"diet sodium,diets sodium"
C0301595,"calcium dieting,diet calcium"
C0301596,"diet potassium,diets potassium"
C0301600,diets purine
C0301603,"allergies diet food,diet food allergy"
C0301609,"chronic diet failure renal,chronic diets failure renal,diet chronic renal failure"
C0301611,"spirit,spirited,spirits"
C0301616,over exertion
C0301625,suppression
C0301630,"reduction,reductions"
C0301641,changes conformational
C0301656,"calcium chelate,calcium chelates"
C0301679,"1 alpha globulins,alpha 1 globulins,alpha-1 globulin,globulin alpha 1"
C0301684,"alpha 2 globulins,alpha-2 globulin,alpha2 globulin"
C0301713,aromatic amino acids
C0301719,"bilirubin indirect,unconjugated bilirubin"
C0301810,"alkaline isoenzyme phosphatase,alkaline phosphatase isoenzymes"
C0301812,amylase pancreatic
C0301817,prohormones
C0301818,"hormone steroid,hormones steroid,hormones steroids,steroid hormone"
C0301819,gonadal hormone
C0301838,antigens soluble
C0301842,"agglutinins warm,antibodies warm,warm agglutinin"
C0301846,inhibiting antibody
C0301851,agglutinogens
C0301852,antibodies complement fixing
C0301869,"conjugate,conjugated,conjugates"
C0301872,immune responses
C0301928,"auto erythrocyte sensitization,autoerythrocyte sensitivity,gardener diamond syndrome,gardner diamond syndrome,painful bruising syndrome"
C0302020,isoimmunisation
C0302050,"antigen rh,rh antigen"
C0302131,ejections
C0302133,"mottled,mottling skin,skin mottling"
C0302143,"cast,casts"
C0302144,"curschmann's spirals,impactions mucoid,mucus retention"
C0302146,chylous cyst
C0302148,"blood clots,blood clotting,blooding clotting,clot,clots"
C0302149,effusions serous
C0302160,folliculitis superficial
C0302164,"tuberous xanthomas,xanthoma tuberosum"
C0302180,"condylomas,condylomata"
C0302186,calls telephone
C0302189,"cell therapies,cells therapy,therapy cellular"
C0302193,"arteri vein,arteries veins,arterio venous,artery vein,artery veins,vein artery"
C0302194,uretero pelvic
C0302202,bismuth salts
C0302210,"gold salts,golds salts"
C0302211,magnesium salts
C0302232,demulcents
C0302255,simplex lentigo
C0302278,pyruvate measurement
C0302280,"adrenal virilism,adrenogenital syndrome,androgenital syndrome"
C0302285,diphtheroid
C0302295,eruptions
C0302302,"closed comedones,whitehead"
C0302306,"exudate inflammatory,exudates inflammatory"
C0302307,mucopurulent exudate
C0302313,lesions osteolytic
C0302314,"xanthelasmas,xanthoma,xanthomas"
C0302353,"k serum,levels potassium serum,potassium serum,serum k,serum potassium level"
C0302356,hemicrania
C0302357,"ver,visual evoked responses"
C0302361,sonnei shigella
C0302363,"bang disease,bang's disease,bovine brucellosis,brucella abortus"
C0302369,"alcohol hallucinosis,alcohol withdrawal hallucinosis"
C0302486,erythrophagocytosis
C0302497,retrobulbar haemorrhage
C0302512,"donor liver,donor liver transplant,donor liver transplants,donors liver,liver donor transplant"
C0302523,"observation,observations"
C0302539,spells
C0302559,"cochlea implant,cochlea implants,cochlear implant procedure,cochlear implant procedures,cochlear implantation"
C0302583,"Fe,iron,iron preparations"
C0302585,azosulfamide
C0302587,"radio opaque,radio-opaque"
C0302590,calcium disorder
C0302592,"carcinoma cervical,carcinoma cervix,carcinoma cervix uterine,carcinoma of cervix,cervix carcinoma"
C0302595,"skin tan,tan,tanning,tans"
C0302611,bumper
C0302621,wappler
C0302647,chromatograph
C0302693,gel pack
C0302810,"syndrome uraemic,uraemic syndrome,uremia syndrome"
C0302813,deficiency lactase
C0302820,"carbohydrates metabolism,metabolism carbohydrate"
C0302821,"contoured,contouring"
C0302822,couple therapy
C0302826,express emotion
C0302827,psychology health
C0302828,instructions
C0302829,metaphor
C0302830,multilinguals
C0302833,"nurse school,nurse schools,nurses school,nurses schooling,nurses schools,school nurses"
C0302834,self psychology
C0302837,"supplementation vitamin,supplementation vitamins,therapy vitamin,therapy vitamins,vitamin supplementation"
C0302840,toxic thyroid adenoma
C0302843,iud place
C0302844,"decreased mcv,low mcv"
C0302845,"elevated mcv,increased mcv,mcv elevated,mcv raised"
C0302858,protein losing gastroenteropathy
C0302859,euthyroid goitre
C0302874,"depressive personality disorder,personality depressive"
C0302894,keratosis stucco
C0302908,"fluid,fluids,liquids"
C0302909,solids
C0302912,radicals
C0302918,isotopes stable
C0302921,"acid strong,strong acids"
C0302933,graphites
C0302934,"buckminsterfullerene,buckyballs,fullerenes"
C0302944,carbon 11
C0302960,flowers sulphur
C0302995,fluorine 18
C0303029,"131 iodine,iodine i 131,iodine-131,iodotope"
C0303048,selenium 75
C0303073,metal fumes
C0303212,chromium 51
C0303220,iron-59
C0303225,gallium 67
C0303276,potassium 40
C0303322,thallium 201
C0303395,60 cobalt
C0303403,indium-111
C0303554,"rubidium 82,rubidium rb-82"
C0303596,yttrium 90
C0303611,"99m technetium,technetium tc 99m,technetium-99m"
C0303612,technetium 99
C0303744,"cement,cemented,cements,portland cement"
C0303745,dust mixed
C0303748,chemical vapor
C0303749,"bleached,bleaching"
C0303753,"flints,flintstone,flintstones"
C0303761,preservatives wood
C0303762,distillates petroleum
C0303763,lpg
C0303866,black diamond
C0303896,blue lights
C0303920,fluorescent stain
C0303923,"dyes tattooing,tattoo dye"
C0303925,blue cobalt
C0303928,"acaricides,miticide"
C0303967,"gas war,gases war,war gases"
C0304060,splinter wood
C0304066,"corked,corking"
C0304082,fumonisins
C0304089,brefeldins
C0304114,oil rosemary
C0304119,oil thyme
C0304209,leukomaine
C0304222,"coated drug,coated drugs,coating drugs"
C0304225,drugs legal
C0304229,"drug experimental,drug trial,drug trials,drugs experimental,drugs trials"
C0304231,"agent therapeutic,agents therapeutic"
C0304245,"cream drug,drug cream"
C0304290,chewable tablets
C0304292,caplets
C0304297,tripelennamine hcl
C0304304,buclizine hcl
C0304317,"1st generation cephalosporin,first generation cephalosporin"
C0304320,"3rd generation cephalosporins,cephalosporin generation third,cephalosporin third generation,cephalosporins generation third,third generation cephalosporin"
C0304323,penicillin natural
C0304324,aminopenicillins
C0304348,acetyl salicylate
C0304352,codeine sulphate
C0304361,oxazolidinedione
C0304395,cannabis derivatives
C0304402,stimulants
C0304403,psychostimulants
C0304425,ephedrine hydrochloride
C0304426,ephedrine sulphate
C0304430,"hydrochloride pseudoephedrine,pseudoephedrine hcl"
C0304431,pseudoephedrine sulphate
C0304435,agents nondepolarizing
C0304437,"muscle relaxants smooth,smooth muscle relaxants"
C0304448,sodium methohexital
C0304461,acidifying agents
C0304465,"acid citrate citric sodium,sodium citrate citric acid"
C0304475,"potassium supplements,supplement potassium"
C0304483,fat emulsions
C0304490,"diuretics potassium sparing,potassium sparing diuretic,potassium-sparing diuretic"
C0304497,"agent cytotoxic,agents cytotoxic,cytotoxic agent,cytotoxic drugs"
C0304509,agents inotropic
C0304516,"beta blockers cardioselective,cardioselective beta blocker"
C0304520,digitalis preparations
C0304532,liquified phenol
C0304540,"aluminum antacids,aluminum based antacids"
C0304542,antacids calcium
C0304550,"bulk forming laxative,bulk forming laxatives,bulk-forming laxative"
C0304551,hyperosmotic laxative
C0304552,laxatives saline
C0304553,"laxative stimulant,laxative stimulants,laxatives stimulant,stimulant laxatives"
C0304554,aloe
C0304572,potassium guaiacol sulfonate
C0304586,"antibiotic skin,antibiotics skin,antibiotics skins"
C0304599,"pediculicides,pediculocide"
C0304600,"butoxide piperonyl pyrethrins,pyrethrin piperonyl butoxide"
C0304604,"corticosteroid topical,corticosteroids topical,topical corticosteroid"
C0304621,"coal solution tar,coal tar topical solution"
C0304638,lipsticks
C0304639,cosmetic eye
C0304642,"eye shadows,eyes shadow,eyes shadows,shadow eye"
C0304645,nail polish removers
C0304647,"depilatories,hair remover,hair removers"
C0304650,"drug eye,drug ophthalmic,drugs eye,drugs ophthalmic,eye drug,eye drugs,ophthalmic preparations"
C0304651,"eye ointments,eyes ointment,ointment eye,ointments ophthalmic,ophthalmic ointment"
C0304652,otic preparations
C0304670,"antibiotic ophthalmic,antibiotics ophthalmic"
C0304671,antibiotics nasal
C0304672,antibiotics throat
C0304706,dexamethasone eye
C0304712,"ergot preparation,ergots"
C0304721,adrenal cortex extract
C0304866,"beef insulin,insulin bovine"
C0304870,insulins long acting
C0304888,liver oil preparations shark
C0304925,"human albumin,human albumin serum"
C0304934,"liver stomach,stomach liver"
C0304982,i-131 sodium iodide
C0305003,ferrous citrate fe 59
C0305007,sodium phosphate p 32
C0305052,"immune serum globulin,isg,serum gamma globulin"
C0305062,"tetanus toxoid,tetanus toxoids"
C0305066,"hdcv,human rabies vaccine"
C0305070,squills
C0305114,ak pentolate
C0305287,anusol suppository
C0305325,artane sequel
C0305377,bc powders
C0305605,charcocap
C0305644,cipro i v
C0305798,damason p
C0305805,"100 darvocet n,100 darvocet-n,darvocet-n 100"
C0305808,darvon n
C0305892,dexedrine spansules
C0305915,dilantin infatab
C0305977,donnatal extentab
C0306012,dulcolax suppository
C0306013,dulcolax tablet
C0306090,entex la tablet
C0306097,"epogen injection,epogen injections"
C0306174,feldene capsule
C0306189,"ferro sequel,ferro sequels"
C0306214,"fleet phospho-soda,fleets phospho soda"
C0306215,fleet prep kit
C0306332,haley's m o
C0306363,humibid dm tablet
C0306369,humulin lente
C0306453,inderal tablet
C0306511,k dur
C0306522,"k tab,k tabs"
C0306692,injections lupron
C0306770,mega-b
C0306857,monistat derm
C0306874,mycelex troches
C0306892,liquid mylanta
C0306987,niferex pn
C0307027,nordette 28
C0307097,occlusal hp
C0307169,35 ovcon
C0307256,granules perdiem
C0307257,peri colace
C0307269,injection pfizerpen
C0307276,injections phenergan
C0307277,phenergan suppository
C0307280,phenergan tablet
C0307284,codeine phenergan
C0307367,mist primatene
C0307390,"injections procrit,procrit injection"
C0307418,inhalers proventil
C0307485,rimso 50
C0307507,robitussin CF
C0307508,robitussin dac
C0307509,robitussin-dm
C0307510,robitussin-pe
C0307516,rondec drops
C0307520,rondec-dm syrup
C0307525,enemas rowasa
C0307733,surbex t
C0307949,"triphasil 28,triphasil 28 tab"
C0307958,cream tucks
C0308094,rub vapor vicks
C0308099,caps forte vicon
C0308155,"2 jelly xylocaine,xylocaine jelly 2%"
C0308158,injections xylocaine
C0308201,"ept,EPT early pregnancy test [brand name]"
C0308269,Advantage [brand name]
C0308312,acid amino solutions
C0308355,ascended
C0308718,CONTROL [brand name]
C0308779,deliver [veterinary product]
C0308803,dexamethasone injections
C0308812,"5 dextrose lactate ringers,5% dextrose lactated ringers"
C0308944,"electrolyte oral solutions,electrolytes oral solution"
C0309049,favoring
C0309328,"dextran injections iron,iron dextran injectable"
C0309731,penicillin strep
C0309847,premiers
C0309872,PREVENT [brand name]
C0310197,stand up
C0310255,survives
C0310367,"ToDay,ToDay [veterinary product]"
C0310387,trappers
C0310435,balm udders
C0310589,"a vitamin d,d vitamins,vitamin a d,vitamins a d,vitamins d"
C0310603,b12 injections vitamin
C0310639,winstrol v
C0310660,z bec
C0310663,"animal vaccine,animal vaccines,animals vaccine,animals vaccines,vaccine animal"
C0310770,vaccine warts
C0311118,"diet foods,dieting food,diets food,diets foods,food diet,foods diets"
C0311119,food particles
C0311121,"bone chicken,bones chicken"
C0311143,"diet infant,diet infants,diets infant,diets infants"
C0311159,clear diet fluids
C0311164,vegetarian diets
C0311170,"cholesterol diet low,cholesterol diets low,cholesterol low diet,cholesterol-lowering diet,diet low cholesterol,low-cholesterol diet"
C0311187,enteral formulas
C0311189,"diet disease related,diet diseases related"
C0311196,"diet hypoglycemia,diets hypoglycemia"
C0311210,fingers paronychia
C0311216,"acne miliaris necrotica,acne necrotica miliaris"
C0311220,cutaneous lymphoid hyperplasia
C0311223,"adhesive capsulitis of shoulder,adhesive capsulitis shoulder,frozen shoulder syndrome,frozen shoulders,shoulder adhesive capsulitis,shoulder frozen"
C0311227,"aluminium lungs,aluminosis,shavers disease"
C0311242,"cyst gingival,gingival cysts"
C0311245,congenital cysts kidney
C0311249,cryptophthalmia
C0311262,"chronic intestinal ischemia,chronic mesenteric ischemia"
C0311276,malnutrition severe
C0311337,"interdigital neuroma,morton neuroma,morton s neuromas,morton toe,morton's disease,morton's neuralgia,morton's neuromas,morton's toe,morton's toes,mortons metatarsalgia,mortons neuroma,mortons neuromas,mortons toe,neuroma morton"
C0311357,cystic ovarian disease
C0311370,lupus anticoagulant disorder
C0311375,"arsenic poison,poison arsenic,poisonings arsenic"
C0311386,isosporosis
C0311389,"non specific urethritis,non-specific urethritis"
C0311392,"find physical,physical finding,physical signs"
C0311393,states toxic
C0311394,"difficulties gait,difficulties walk,difficulties walking,difficulty in walking,problems walking,walking difficulty"
C0311395,"claudications,lameness,limp,limping,limps,walking leg pain"
C0311421,"fluids pressure,pressure fluid"
C0311432,bioaccumulations
C0311447,oligoclonal proteins
C0311448,abnormal proteins
C0311461,acids amino nonessential
C0311468,"bilirubin elevated,bilirubin increased levels,bilirubins elevated,increased bilirubin,increased bilirubin level,raised bilirubin"
C0311474,"dna double stranded,double strand dna,double stranded dna,ds dna,ds-dna"
C0312398,"alkaline liver phosphatase,alkaline phosphatase liver"
C0312399,"alkaline bone phosphatase,alkaline phosphatase bone"
C0312402,prostatic acid phosphatase
C0312413,"overflow urinary incontinence,paradoxical incontinence"
C0312416,mornings sickness
C0312417,"hypergalactia,increased lactation,increasing lactation"
C0312422,"black out,black outs,blacking out,blackout spell,blackouts,pass out,passed out"
C0312426,"hormones production,production hormone"
C0312431,hormones secretions
C0312443,mrf
C0312452,"free thyroxin,thyroxine free t4"
C0312586,antibodies polyclonal
C0312612,"antibodies dna double stranded,antibodies dsdna,antibody dna double strand,dna ab ds,dsdna ab"
C0312620,"anti-cytoplasmic antibody,antibodies anticytoplasmic,antibodies cytoplasmic,anticytoplasmic antibodies,anticytoplasmic antibody"
C0312621,"antibodies antimitochondrial,antibodies mitochondrial,mitochondrial antibody"
C0312624,antibodies cardiac
C0312631,"antibodies antigen b core hepatitis,antibodies b core hepatitis,antibody b core hepatitis,hepatitis b core antibody"
C0312634,"antibodies antigens hepatitis,hbeab,hepatitis b e antibody"
C0312635,hepatitis d antibody
C0312639,"abs gliadin,anti antibodies gliadin,anti gliadin antibodies,anti-gliadin antibody,antibodies gliadin,gliadin antibodies,gliadin antibody"
C0312646,"reaction skin test,responses skin,skin test reaction"
C0312737,"cell memory,immunocyte,memory cell"
C0312743,complement components
C0312853,haemolytic
C0312855,"fragility osmotic,fragility rbc osmotic"
